------------------------------------------------------------
Client connecting to 39.98.40.55, TCP port 5001
TCP window size: 45.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.253.61 port 34670 connected with 39.98.40.55 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  3.25 MBytes  27.3 Mbits/sec
[  1] 1.0000-2.0000 sec  6.12 MBytes  51.4 Mbits/sec
[  1] 2.0000-3.0000 sec  5.75 MBytes  48.2 Mbits/sec
[  1] 3.0000-4.0000 sec  4.74 MBytes  39.7 Mbits/sec
[  1] 4.0000-5.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  1] 5.0000-6.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 6.0000-7.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  1] 7.0000-8.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  1] 8.0000-9.0000 sec  5.62 MBytes  47.2 Mbits/sec
[  1] 9.0000-10.0000 sec  3.39 MBytes  28.5 Mbits/sec
[  1] 10.0000-11.0000 sec  4.75 MBytes  39.8 Mbits/sec
[  1] 11.0000-12.0000 sec  1.96 MBytes  16.5 Mbits/sec
[  1] 12.0000-13.0000 sec   762 KBytes  6.24 Mbits/sec
[  1] 13.0000-14.0000 sec   956 KBytes  7.83 Mbits/sec
[  1] 14.0000-15.0000 sec  1018 KBytes  8.34 Mbits/sec
[  1] 15.0000-16.0000 sec  1.06 MBytes  8.87 Mbits/sec
[  1] 16.0000-17.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 17.0000-18.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 18.0000-19.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 19.0000-20.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  1] 20.0000-21.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 21.0000-22.0000 sec   317 KBytes  2.60 Mbits/sec
[  1] 22.0000-23.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 23.0000-24.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 24.0000-25.0000 sec   446 KBytes  3.66 Mbits/sec
[  1] 25.0000-26.0000 sec   510 KBytes  4.18 Mbits/sec
[  1] 26.0000-27.0000 sec   700 KBytes  5.74 Mbits/sec
[  1] 27.0000-28.0000 sec   510 KBytes  4.18 Mbits/sec
[  1] 28.0000-29.0000 sec   700 KBytes  5.73 Mbits/sec
[  1] 29.0000-30.0000 sec   956 KBytes  7.83 Mbits/sec
[  1] 30.0000-31.0000 sec  1.18 MBytes  9.92 Mbits/sec
[  1] 31.0000-32.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 32.0000-33.0000 sec  3.93 MBytes  33.0 Mbits/sec
[  1] 33.0000-34.0000 sec  5.50 MBytes  46.1 Mbits/sec
[  1] 34.0000-35.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  1] 35.0000-36.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  1] 36.0000-37.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 37.0000-38.0000 sec  11.4 MBytes  95.4 Mbits/sec
[  1] 38.0000-39.0000 sec  8.88 MBytes  74.4 Mbits/sec
[  1] 39.0000-40.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  1] 40.0000-41.0000 sec  10.0 MBytes  83.9 Mbits/sec
[  1] 41.0000-42.0000 sec  12.9 MBytes   108 Mbits/sec
[  1] 42.0000-43.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 43.0000-44.0000 sec  12.1 MBytes   102 Mbits/sec
[  1] 44.0000-45.0000 sec  11.0 MBytes  92.3 Mbits/sec
[  1] 45.0000-46.0000 sec  12.1 MBytes   102 Mbits/sec
[  1] 46.0000-47.0000 sec  11.9 MBytes  99.6 Mbits/sec
[  1] 47.0000-48.0000 sec  12.5 MBytes   105 Mbits/sec
[  1] 48.0000-49.0000 sec  11.9 MBytes  99.6 Mbits/sec
[  1] 49.0000-50.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 50.0000-51.0000 sec  11.8 MBytes  98.6 Mbits/sec
[  1] 51.0000-52.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 52.0000-53.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 53.0000-54.0000 sec  11.8 MBytes  98.6 Mbits/sec
[  1] 54.0000-55.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 55.0000-56.0000 sec  11.6 MBytes  97.5 Mbits/sec
[  1] 56.0000-57.0000 sec  12.4 MBytes   104 Mbits/sec
[  1] 57.0000-58.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 58.0000-59.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  1] 59.0000-60.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 60.0000-61.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 61.0000-62.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 62.0000-63.0000 sec  11.0 MBytes  92.3 Mbits/sec
[  1] 63.0000-64.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 64.0000-65.0000 sec  11.5 MBytes  96.5 Mbits/sec
[  1] 65.0000-66.0000 sec  8.00 MBytes  67.1 Mbits/sec
[  1] 66.0000-67.0000 sec  7.12 MBytes  59.8 Mbits/sec
[  1] 67.0000-68.0000 sec  8.62 MBytes  72.4 Mbits/sec
[  1] 68.0000-69.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  1] 69.0000-70.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  1] 70.0000-71.0000 sec  5.62 MBytes  47.2 Mbits/sec
[  1] 71.0000-72.0000 sec  10.0 MBytes  83.9 Mbits/sec
[  1] 72.0000-73.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 73.0000-74.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 74.0000-75.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  1] 75.0000-76.0000 sec  10.0 MBytes  83.9 Mbits/sec
[  1] 76.0000-77.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  1] 77.0000-78.0000 sec  11.8 MBytes  98.6 Mbits/sec
[  1] 78.0000-79.0000 sec  11.9 MBytes  99.6 Mbits/sec
[  1] 79.0000-80.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  1] 80.0000-81.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  1] 81.0000-82.0000 sec  11.6 MBytes  97.5 Mbits/sec
[  1] 82.0000-83.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  1] 83.0000-84.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  1] 84.0000-85.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 85.0000-86.0000 sec  11.6 MBytes  97.5 Mbits/sec
[  1] 86.0000-87.0000 sec  11.6 MBytes  97.5 Mbits/sec
[  1] 87.0000-88.0000 sec  11.6 MBytes  97.5 Mbits/sec
[  1] 88.0000-89.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 89.0000-90.0000 sec  10.9 MBytes  91.2 Mbits/sec
[  1] 90.0000-91.0000 sec  12.0 MBytes   101 Mbits/sec
[  1] 91.0000-92.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 92.0000-93.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 93.0000-94.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  1] 94.0000-95.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  1] 95.0000-96.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  1] 96.0000-97.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 97.0000-98.0000 sec  11.9 MBytes  99.6 Mbits/sec
[  1] 98.0000-99.0000 sec  11.5 MBytes  96.5 Mbits/sec
[  1] 99.0000-100.0000 sec  11.5 MBytes  96.5 Mbits/sec
[  1] 100.0000-101.0000 sec  11.8 MBytes  98.6 Mbits/sec
[  1] 101.0000-102.0000 sec  7.12 MBytes  59.8 Mbits/sec
[  1] 102.0000-103.0000 sec  11.4 MBytes  95.4 Mbits/sec
[  1] 103.0000-104.0000 sec  12.4 MBytes   104 Mbits/sec
[  1] 104.0000-105.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 105.0000-106.0000 sec  10.1 MBytes  84.9 Mbits/sec
